Title,Info,tel,Company1
Hotêl Rais,"El Marsa.Bordj El Bahri,Alger,Algérie",023 87 91 32 / 023 87 91 34,hotel.rais@gmail.com
NASHCO / National Shipping Company,"50 bis, route de Gué de Constantine, App...",021 46 12 05 / 0661 23 50 96,dgnashco@nashco.com.dz
Entreprise Portuaire Ghazaouet,"Route du phare.Ghazaouet.Bp 217,Tlemcen,...",,contact@portdeghazaouet.com
EGT.Les Andalouses / Complexe Touristiqu...,"C/T Les Andalouses, Ainturck .El Ansor,...",041 11 11 82 / 041 26 01 34 / 041 26 01 25 / 041 11 11 78 / 0770 60 68 01 / 0770 60 68 02,contact@andalouses.com
EGPPA / Entreprise de Gestion des Ports...,"Route de l'avant Port,Annaba,Algérie",038 86 58 72 / 0661 82 42 09,egppan@yahoo.fr
EPM / Entreprise Portuaire Mostaganem,"Avenue de l'indépendance.Bp 131,Mostagan...",,epm@port-mostaganem.dz
EPO / Entreprise Portuaire d'Oran,"01, rue du 20 Aout,Oran,Algérie,31000",041 33 24 41 / 041 33 24 49 / 041 33 24 97 / 041 33 24 98,pdg@port-oran.dz
EPA / Entreprise Portuaire d'Arzew,"7, rue Larbi Tebessi.Bp N°46.Arzew,Oran,...",041 79 24 00 / 041 79 24 01 / 041 79 12 03 / 041 79 23 99,direction.generale@arzewports.dz
Entreprise Portuaire de Skikda,Petite Zone Industrielle Prés Embouchure...,038 75 23 95 / 038 75 22 80,epskikda@skikda-port.com
Entreprise Portuaire DjenDjen,"Port de djendjen. El Achouat. Taher,Jije...",034 54 21 64 / 030 47 84 10 / 034 54 21 60 / 034 54 22 20,contact@djendjen-port.com
EPT / Entreprise Portuaire Tenès,"Port Tenes.Bp 18,Chlef,Algérie,02200",027 76 72 76 / 027 76 72 83,dgport@portdetenes.dz
Hotêl Mermoura,"01, avenue Ali Chorfi,Guelma,Algérie",037 15 03 03 / 037 15 03 30 / 037 15 03 33 / 0770 52 40 60,contact-mermoura@egtannaba-dz.com
MSCA / Méditerranée Shipping Compagnie A...,"N°11, coopérative En-Nahar.Les Sources.B...",021 56 35 32 / 021 56 35 50 / 021 56 15 32 / 0555 00 18 13 / 0770 44 94 00,infoalger@mscalg.com.dz
Hôtel M'zab,"Rue Amir Abdelkader.Kasr Saada.Bp 374,Gh...",029 28 54 62 / 029 28 55 06,egtgsiege@yahoo.fr
Hôtel Louss,"Rue Mohammed Khemisti,El Oued,Algérie.",032 21 00 79 / 032 11 04 04 / 032 11 08 08 / 0550 62 45 51,hotel.louss@yahoo.fr
Hôtel El Kalaa,"Route de Bordj Bou Arreridj,M'sila,Algér...",035 35 91 91,
EPB / Entreprise Portuaire de Béjaia,"13, avenue des Frères Amrani.Bp 94,Bejai...",034 16 76 35 / 034 16 75 73 / 034 16 83 43 / 034 16 83 44 / 034 16 80 13,portbj@portdebejaia.dz
Best Western Colombe Hotel,"06, Boulevard Zabour Larbi .Hai Khaldia,...",041 74 61 76 / 0555 02 99 73,reservation@hotelcolombe.com
Transit Alco / Algeria Logistic Connexio...,"129, boulevard krim Belkacem.Alger centr...",021 74 10 86 / 021 74 10 85 / 0555 61 49 15,contact@alcodz.com
Hôtel Kerdada,"4 Rue de La Republique.Boussaâda,M'sila,...",035 42 86 82 / 035 42 87 94 / 035 42 86 84 / 035 42 86 85 / 0662 06 19 65,kerdada@hotelkerdada.com
ALMAFRIQUE,"Hassi Messaoud.Bp 443,Ouargla,Algérie",029 78 00 65 / 029 78 00 66 / 0661 49 41 41,almafrique@almafriquesarl.com
Union Trans,Cité des Ouvriers n°2.Lot n°2.Dar El Bei...,023 74 74 80 / 023 74 74 82 / 023 74 74 83,contact@uniontrans-dz.com
Red Apple Catering,"Lot n°87B.Cité Benghazi .Baraki,Alger,Al...",021 76 24 03 / 0661 56 71 19 14 / 0661 56 71 19 / 0661 56 71 20 / 0665 23 51 14,redappledz@yahoo.fr
Cnan Nord,"Villa 219. Parc Ben Omar. Kouba,Alger,Al...",021 28 02 87,abdelmalek@cnan-nord.com
Station de services ZAC,"Taharacht.Akbou.06200,Bejaia,Algérie",0773 74 10 82,amm_za311@hotmail.fr
Club Azur Plage,"Azur Plage. Palm Beach. Staoueli,Alger,A...",023 20 12 96 / 023 20 12 75 / 023 20 12 68,clubazur@sidifredj-hotels.com
EGT Zeralda / Entreprise de Gestion Tour...,"Complexe Touristique de Zeralda,Alger,Al...",021 32 78 68,direct-generale@egct-zeralda.dz
Clef du Sud / Miftah El Djanoub,"Résidence Chabani.Val d'Hydra,Alger,Algé...",0560 18 25 39 / 0560 39 25 40,contact@clefdusud.net
EGT Tipaza / Entreprise de Gestion Touri...,"Centre Touristique.Tipaza (ex CET),Tipaz...",024 37 79 28 / 0555 01 28 82,egt.tipaza@yahoo.fr
Complexe Touristique Corne d'or,"Centre Touristique,Tipaza,Algérie",024 37 65 94 / 024 37 65 95 / 024 37 66 11,egt.tipaza@yahoo.fr
SOMIPHOS / Unité des installations portu...,"Port Annaba.Quai Sud. Bp 245,Annaba,Algé...",,secretariatipa23@gmail.com
Louati Traiteur,CITÉ LA CONCORDE BT A N° 18 LOT N° 69 BI...,0555 62 82 55 / 0555 62 82 47,service-client@louati.com
Rostomia Traiteur,"117 Bis, Route De Sidi Mbarek. Oued Roum...",021 66 04 59 / 0661 93 24 39,mail@rostomiatraiteur.com
TVA / Touring Voyages Algérie Centre / L...,"30, Rue Hassen Benaamane .Les Vergers .B...",021 54 13 13 / 021 44 68 64 / 0561 87 67 41,contact@touring-algeria.com
Metidji Transport Marchandise,Zone d'activité.Route de la Salamandre.M...,045 35 60 60,mtm@groupe-mitidji.com
Timgad Voyages,"Cité Maaref, 50 logts.N° 22, rue Hadj Ab...",033 85 61 61 / 033 85 60 66 / 0550 46 66 02,info@timgad-voyages.com
Chréa Tours,"69A, Didouche Mourade,Alger,Algérie",021 71 55 43 / 0770 41 58 20 / 0561 24 24 90 / 0676 31 04 06,chrea_tour@hotmail.com
Akar Akar,Place du 1 er Novembre 1954 .Centre vill...,029 31 16 08 / 0661 64 93 84 / 0660 83 77 30,akarakartam@hotmail.com
Zenata Voyages,"04, rue Mohammed Khemisti.Remchi,Tlemcen...",043 43 72 20 / 0554 57 67 60,zenatavoyages@hotmail.com
Hôtel Le Caid,"24, rue Nassredine Dinet.Bou Saada,M'sil...",035 43 16 50 / 035 43 16 51 / 035 43 16 55 / 035 43 16 48,hotelcaid@chaineeldjazair.com
Atlas Tours,"34, avenue Souidani Boudjemaa.El Mouradi...",021 48 29 02 / 0550 63 33 33,atlastour@hotmail.fr
Egh.El-Djazair / Hôtel El Djazair / Ex...,"24, Avenue Souidani Boudjemaâ. Alger Cen...",023 48 11 64 / 0661 94 32 71,reservation@chainealdjazair.com
Hôtel Royal *****,"01, boulevard de la Soummam,Oran,Algérie...",041 29 17 17 / 041 98 10 00,h9126-re@accor.com
Traras Travel,"3, Rue Sidi Yahia. Nedroma,Tlemcen,Algér...",043 27 17 17 / 0552 49 06 01,trarastravel@traras.com
M'zab Tours,"Boulevard du 05 Juillet,Ghardaia,Algérie...",029 26 08 25 / 0661 64 52 11,mzabtours@hotmail.com
Trans Baouchi,Rn n°3.Carrefour du 24 Février.Bp 501.Ha...,029 78 24 01 / 29 78 24 02 / 0660 40 91 25,commercial@transbaouchi.com
Alger Tours Travel,"5, rue Emir Abdelkarim El Khettabi.Grand...",021 63 69 59 / 021 64 46 43 / 0554 09 24 25,algertours@hotmail.com
SST / South StarTravel,"5, rue Rachid Tidjani. Alger Centre,Alge...",021 63 24 24,agence.sst1990@yahoo.fr
Hôtel El Ansar **,"73, avenue Amara Youcef,Blida,Algérie,09...",025 32 61 89,hotelansar@hotmail.com
Hôtel Les Zibans,"Route du 08 Mars,Biskra,Algérie",033 53 90 09 / 033 53 90 16 / 033 53 90 17 / 033 74 11 87,egt-biskra@entreprise-dz.com
Hotêl Cirta,"01, Avenue Rahmani Achour,Constantine,Al...",031 91 13 77 / 031 91 16 86 / 031 91 19 38,contact@hotelcirta.com
Hôtel Rym,"Beni Abbès.Bp 42,Bechar,Algérie",049 28 42 03 / 049 28 42 04 / 0550 29 40 90,hotel_rym@hotmail.com
Egt Sidi-Fredj / Complexe Touristique de...,"Sidi Fredj.Staoueli,Alger,Algérie",021 37 67 79,egtsidifredj_gd@hotmail.com
Hôtel El Marsa,Complexe Touristique de Sidi Fredj. Stao...,,elmarsa@sidifredjhotels.com
Hôtel El Manar,Complexe touristique Sidi-Fredj.Staoueli...,0560 21 67 75,elmanar@sidifredj-hotels.com
Hôtel Safir Mazafran,"Bp 201. Zeralda,Alger,Algérie",021 32 00 00 / 023 20 95 06 / 0561 67 60 62 / 0561 67 60 63,reservation@hotelmazafran.com
Hôtel Albert 1er,"05, avenue Pasteur. Alger Centre,Alger,A...",021 73 65 06 / 021 73 65 07 / 021 73 65 08 / 021 73 74 41,hotelalbert1@hotmail.com
Hôtel Suisse ***,"06, rue Lieutenant Boulhart, Alger Centr...",021 63 10 09 / 021 63 12 75 / 021 63 22 14,reservation@hotelsuisse-dz.com
HOTEL SOFITEL HAMMA GARDEN,"172, rue Hassiba Ben Bouali, Rp 152 R. B...",021 68 52 10 / 021 68 52 17,h1540@accor.com
Hôtel Hilton,Pins Maritimes.Palais des expositions.El...,021 21 96 96 / 021 21 96 95,algiersreservation@hotmail.com
ATS / African Travel Service,"42, rue Ahmed Zabana.Sidi M'Hamed,Alger,...",021 71 05 29 / 021 71 05 18 / 021 73 48 10 / 0661 85 85 80 / 0770 41 75 15,atslh@yahoo.fr
AIR Algérie / Direction Générale,"01, Place Maurice Audin,Alger,Algérie",023 81 98 36 / 023 50 41 25 / 023 60 41 11 / 021 74 44 25 / 021 50 94 21 / 021 74 42 90 / 021 61 05 53,contact@airalgerie.dz
Rail Express,"06, route d'Attatba.Zabana,Blida,Algérie...",025 21 61 67,railexpress_dg@yahoo.fr
Beltours Algérie,"10, rue des Frères Berrezouane.,Alger,Al...",021 64 24 82 / 021 63 64 64 / 0559 47 99 36,beltour_algerie@yahoo.com
Voyage Plus,"2, cours Bitche. Place Audin,Alger,Algér...",021 64 25 36 / 0553 12 85 13,voyageplusinfo@gmail.com
Egh.El Aurassi / Hôtel El Aurassi,"2 Boulevard Frantz Fanon. Les Tagarins,A...",021 74 82 52 / 021 63 22 92 / 021 72 14 18 / 021 71 72 90,contact@el-aurassi.com
GEMA / Générale Maritime,"02, rue Jawaharlal Nehru(ex-Beziers).Bp...",021 74 89 60 / 021 74 73 00 / 021 74 77 59 / 021 74 78 76,gemadg@gema-group.com
TTMF / Transit Taibi Mohammed et Fils,"11, rue Hassiba Ben Bouali. Sidi M'hamed...",021 71 72 58 / 021 74 36 92,info@taibi-transit.com
Fly Well Travel,"03, rue Allili Ahmed.Boufarik,Blida,Algé...",025 48 19 96 / 0550 54 30 33,info@flywell-travel.com
GFT / Global Freight Transit,"Lot 191, voie 09.Zone industrielle de Ou...",021 51 34 87,contact@gft-dz.com
AMS / Algerian Maritime Service / Alger,"15, rue des fréres Bouzid bellevue.El Ha...",021 52 80 53 / 0661 97 61 18,amsalger@ams.dz
Universal Transit / Alger,"02, rue Ali Tounsi . Bordj El Kiffan,Alg...",021 20 42 32 / 021 20 42 33,contact@universal-transit.com
Hôtel Sheraton / Alger,Office n°22.Club des Pins. Staoueli.Bp 6...,021 37 62 10 / 021 37 77 77 / 021 37 88 88 / 021 37 73 88 / 021 37 77 00,reservation.algiers@sheraton.com
Hôtel Mercure,Route de l'Université.Bp 12.Cité 5 Juill...,021 24 59 70 / 021 24 59 71 / 021 24 59 85 / 0782 21 47 36,h3173@accor.com
ALCATHAIR / Société Algérienne de Cateri...,"Lot.C""Les Orangers"".Hamiz.Dar El Beida,A...",023 85 80 97 / 023 85 80 98 / 023 85 81 01 / 023 58 80 52 / 0561 38 02 67 / 0550 92 48 83,alcathair@netcourrier.com
Hôtel Eden Phoenix ****,Rond point de l'aéroport d'Es-sénia. BP...,041 51 61 51 / 041 51 61 57 / 041 51 61 58 / 041 51 61 59 / 041 51 61 60,reservation@edenphoenix.com
Royal Air Maroc,"4, rue Sidi Yahia. Bir Mourad Rais,Alger...",023 57 32 14 / 023 57 32 94,
Saudi Arabian Airlines,"Niveau 108 B. Riadh El Feth. El Madania,...",,saudialger@yahoo.fr
El AMANA,"28, Coopérative, l'amitié. Zonka. Bir Kh...",023 57 82 39 / 0555 04 15 70,contact@el-amana.com
Shico Shipping & Trading / Direction Gén...,"Rn n°05.Lots n°13.El Mohammedia,Alger,Al...",021 82 23 84 / 021 82 23 72 / 0770 92 66 28,info@shico-dz.com
Dune Voyages / Kouba,"18, rue Farid Bouiche.Kouba,Alger,Algéri...",023 78 62 34 / 0554 50 96 17,direction.grl@dune-voyage.com
TRANSNORD,"17, rue Hassan Issad. Alger Centre,Alger...",021 71 01 73 / 0660 57 15 18,nouredine.rabahi@yahoo.fr
TUNIS AIR,"06, rue Abdelkrim Khettabi. Alger Centre...",021 63 54 07 / 021 63 58 60,tunisairalger@yahoo.fr
MLSS / Mici Line Shipping & Services,"21 Ter, Rue Réda Houhou,Alger,Algérie",,mici_line@wissal.dz
Mehellou Tours et Voyage,"04, boulevard Che Guevara,Alger,Algérie",021 43 00 20 / 0660 37 46 50,mehellou_tours@hotmail.fr
Adel Voyages,"63, boulevard Mohammed 5,Alger,Algérie",023 49 08 89 / 0557 58 67 98,adelvoyages@hotmail.com
Sheraton Oran Hôtel,"Route Des Falaises, Avenue Canastel. Sed...",041 59 01 00,oran.sheraton@sheraton.com
Fun Voyages,"54, rue de Tripoli.Hussein Dey,Alger,Alg...",023 77 23 19 / 0661 50 64 47 / 0696 42 51 49,funtripoli@gmail.com
Imene Sabrina Voyages,"Cité 5 Juillet, Villa n°3, local E. Bab-...",021 24 10 09 / 0771 27 16 11 / 0771 13 38 47 / 0550 52 78 20 / 0666 66 22 55,
MINA Tours,"400 LOGTS EL HAMMAMET 13 BT 3 Bainem,Alg...",023 21 71 56 / 0561 57 54 36,minaflying@yahoo.fr
Raouia Tour Inter,Cité 204 logts.Bt n°02.Bouchaoui.Chéraga...,0697 56 77 71,raouiatourisme@yahoo.fr
SOFITOURS EVENTS,"1, rue Rampr Chasseriou place Mauritania...",023 50 37 43 / 0540 48 89 86 / 0561 86 97 44,commercial@sofitours.com
Zama Tours,"1er étage. Rue Arasia Larbi,Souk Ahras,A...",037 71 81 02 / 037 71 83 09 / 037 71 83 06 / 0669 75 26 12,zama.travel@gmail.com
Grand Hotêl Le Naili,"Rn n°1.Sortie Sud,Djelfa,Algérie",027 90 88 13 / 0557 31 80 37,hotelnaili@gmail.com
Dune Voyages / Dely Ibrahim,"Villa n°2.Hai Rtt.Dely Ibrahim,Alger,Alg...",023 30 41 11 / 023 30 41 16 / 0554 50 96 16,agence-dely@dunevoyages.com
VSF / Voyages Sans Frontières,"2 rue Kaddour Rahim. Hussein Dey,Alger,A...",021 47 00 06 / 021 23 10 21 / 0550 99 58 49,vsfsiege@yahoo.fr
VOYAGIS,Avenue Mohammed Boudiaf.Route de Dely Ib...,023 36 34 99 / 0793 20 08 00,vvoyagis@hotmail.com
ALLTOUR,"8, Boulevard Abderrahmène Mira.Bab El Ou...",0550 05 38 15 / 0550 05 38 16 / 0555 05 38 23 / 0770 71 71 77,alltouralltour@gmail.com
Leader Tours,"7, route de Bachedjerrah.Cité Maya.Husse...",021 77 15 35 / 021 77 15 36 / 021 77 15 37 / 0660 40 59 00 / 0542 65 79 50,manager@leadertours-dz.com
Anastasia Tours,"10, rue Mohammed Zekkal. Sidi M'hamed,Al...",021 65 58 53 / 021 65 22 98 / 0554 50 54 06 / 0554 51 33 66 / 0554 50 54 07,anastasi@anastasiatours-dz.com
REVOYAGES,"102, rue Didouche Mourad,Alger,Algérie",023 49 11 92 / 023 49 11 86 / 023 49 11 92 / 0770 95 18 70,info@revoyages.com
Cherchell Tours,"1, avenue Boubella Mohammed.Bab El Oued,...",021 96 39 17 / 0550 45 01 03 / 0661 60 27 10,cherchelltours@yahoo.fr
Bicha Voyages,"14, rue Mustapha Allouche.Bab El Oued,Al...",021 96 24 94 / 0561 46 67 51 / 0550 24 24 62 / 0662 53 58 54 / 0561 07 65 10,bichavoyagesbeo@gmail.com
AGEFAL / Agence de Gestion du Fret d'Alg...,"Route national n°05.Mohammadia,Alger,Alg...",021 82 84 82 / 0780 56 56 47,khoukhi.agefal@gmail.com
Hydra Travel Algeria,"Villa N°20.Coopérative Ennadjah, extensi...",0661 47 80 99 / 0661 21 46 57 / 0560 70 70 25,hydravoyages@gmail.com
LMTS / Liners Mondial Trans Ship,"Villa 130, coopérative Ibnou Sina, 3ème...",041 82 71 15 / 0555 04 13 16 / 0555 04 13 24 / 0555 04 13 18,imtslouni@gmail.com
AIGLE AZUR / Direction Générale,"Immeuble Mauritania, Place du Pérou,Alge...",021 74 93 00,accueil@aigle-azur.dz
Bal Travel,"56, lotissement Caid El Bab.Birkhadem,Al...",023 45 22 49 / 0668 80 80 17 / 0557 39 11 65,baltravel1@gmail.com
Necib Tourisme,"Niveau 108.Riadh El Feth.El Madania,Alge...",021 67 89 69 / 023 35 80 36 / 023 20 13 04 / 0555 00 97 60 / 0555 00 97 70 / 0560 91 78 66,necibtourisme@yahoo.fr
ADS / Algeria Diving Services,"08, Rue Klouaa Charef.Mazagran,Mostagane...",045 42 31 38 / 045 23 66 03 / 0560 30 70 96,diving_ads@yahoo.fr
Walene Voyages,"Ksar El Fouggani.Hoggar.Bp 439, 11000",0663 53 85 83 / 0550 43 32 05,walenevoyage@gmail.com
Pegasus Tours,"02, Rue Allaoua Abdelkader Djennadi Azzi...",021 46 28 04 / 0552 01 54 39 / 0550 49 60 04,pegasus.tours72@gmail.com
Cnan Med,N°14 avenue Ahmed Terkouche.El Harrach,0770 12 02 11 / 0770 93 15 16,commercial@cnanmed.dz / karaoui@cnanmed.dz / koudil@cnanmed.dz
HMP / Hôtel Mas des Planteurs,"Route de Ouled Fayet. Staouéli,Alger,Alg...",023 20 91 16 / 0555 03 05 35,hotel-mas-des-planteurs@hotmail.fr
DGD / Direction Générale des Douanes,"12, rue Docteur Saadane,Alger,Algérie",,dinf@douane.gov.dz
Adjlia Immobilier,"1 Cité Sghir Promotion Alouache,Bejaia,A...",034 12 56 49 / 0550 42 04 20 / 0554 59 95 50,contact@adjlia.com
EXPOSIGN,Résidence les Jasmins N°87 . Petit Staou...,0770 94 34 69 / 0770 27 89 98 / 0770 99 66 19,info@exposign.dz
Cieptal Catering,"Zone industrielle.Bp 128,Ouargla,Algérie...",029 78 25 90,contact@cieptal.com
EMA / Entreprise Métro d'Alger / Ministè...,"170 B, rue Hassiba Ben Bouali",,ramirouche@metroalger-dz.com
Sarens Algérie,"05, rue Hadj Bacha.Kouba,Alger,Algérie,1...",021 49 77 17 / 021 49 77 18 / 0782 47 02 59 / 0661 92 50 12,info@sarens-dz.com
Hôtel Eden Resort & SPA ****,Boulevard De La République. Aîn-El-Turck...,041 60 51 72 / 041 60 51 73 / 041 60 51 74,reservation@edenresortspa-oran.com
STIM / Société de Transport Intermodal d...,Bt. n°09.Cité des 75 logements EPLF.Roui...,021 81 45 17 / 021 81 29 66 / 021 81 21 66 / 021 77 97 55,stim.rouiba@yahoo.fr
Rail Link Algérie,"65, boulevard Benkhedda Benyoucef.Hydra,...",023 92 42 63 / 023 92 42 55,
STPE / Société de Transport des Produits...,"Zone industrielle. Oued Smar .Bp49,Alger...",021 50 65 02 / 021 50 87 02 / 021 50 87 33 / 021 50 74 41 / 021 50 88 09,contact@stpe-dz.com
STG / Société de transport de Grains,Gare de Dar-El-Beida (Nouveau Faisceau)....,021 50 68 34 / 021 50 71 19 / 021 50 76 04 / 0550 00 38 07,contact@stg-dz.net
Restau Rail,"12, Avenue de l'ALN. Hussein Dey,Alger,A...",021 49 70 30 / 021 49 70 55 / 021 77 18 58,contact@restau-rail.com
Rail Logistic,"01, rue Taggort.Sidi M'hamed,Alger,Algér...",,info@rail-logistic.com
FWT / Four Winds Travel,"30, rue Capitaine Mennani. Alger Centre,...",021 66 85 04 / 021 73 93 42 / 0673 52 38 72,fwtpasteur@yahoo.fr
Hôtel Ibis Alger Aeroport,Quartier des Affaire de Bab Ezzouar BP 1...,021 98 80 20,h5682@accor.com
Hôtel El Kettani,Complexe touristique El Kettani.Bab El O...,023 17 34 94,hotelelkittani@hotmail.com
Majestic Voyages,Rue Mustapha El Ouali.Bt 280.Ex Debussy....,0661 95 83 08,majestic_voyages@yahoo.fr
Bridge Travel Services,Bt n°01.Cité Mérabet Khoudir (ex CNS).Si...,031 73 64 64 / 031 63 94 30 / 031 63 94 33 / 0770 96 04 40 / 0560 12 51 99,support@clicngo.biz
Hotel le Majestic,"11, Boulevard du 1er Novembre 54,Annaba,...",038 59 04 50,contact@hotelmajestic.dz
Mondial Shipping Company,"25, boulevard Zirout Youcef. Alger Centr...",021 73 13 56,info@mondialshipping.dz
Sloman Neptun Algeria,"15, rue des Frères Bouzid.Belle vue.El H...",021 52 80 57 / 021 52 59 01 / 0661 97 61 90,information@sna.dz
Sebti H Transit,"Cité 1100 logts.Dar El Beida,Alger,Algér...",023 74 82 79 / 0550 23 10 13,moulaydrisse@yahoo.fr
TVA / Touring Voyages Algerie Centre / M...,"Gare routière sntv .Cité 24 Février,Mede...",025 78 22 75,tva-medea@touring-algerie.com
Cheikh Abdelkarim,"Route Oueld Moussa, Ouled Haddadj,Boumer...",,karimche2001@yahoo.fr
CMA CGM Algérie,Tour CMA CGM quartier des affaires. Bab...,0560 91 45 11,age.genmbox@cma-cgm.com
Fouara Voyage,"02, rue Haffad Abdelmadjid,Setif,Algérie...",036 45 35 40 / 0550 67 45 12,fouaratours@yahoo.fr
Khadri Groupe,"Bt. H1.Locaux 252-253.Cité Ammar Dagou,S...",036 53 74 80 / 0772 44 88 16,group_khadri@yahoo.fr
Hôtel El Bachir,"01, place de l'indépendance,Setif,Algéri...",036 82 87 79 / 036 82 87 80 / 0661 35 01 88,bachir.hotel@gmail.com
Hôtel El Hidhab,"Boulevard de l'ALN,Setif,Algérie",036 51 41 34 / 036 51 46 46,elhidhabhotel@yahoo.fr
