Title,Info,Company,Company1
TRHULIT,696 COOP. IBN KHALDOUNHai Khemisti.Bir E...,0661 57 53 49 / 0555 78 74 48,trhulit@hotmail.com
NAFTOCOM,"Cité El Kahahlia.Larbatache.Bp 72,Boumer...",0550 02 62 25 / 0770 14 80 22,contact@naftocom.com
PETRO CHIMCO,Zone d'activité et de depot lot n01 Oule...,0661 92 91 17,ammarcomm@yahoo.fr
HUILEX,"Route de Fouka. Sidi Djaber. Bou Ismail,...",024 31 68 84 / 0550 07 86 39,huilexlub@gmail.com
SCDL / Comptoir du Lubrifiant,"152, lot Boushaki D.Bab Ezzouar,Alger,Al...",023 83 26 81 / 0770 20 38 15 / 0560 93 61 42,abdelkader.scdl@yahoo.fr
RAMCIF Services,"Cité 1850 logts,Ouargla,Algérie,30500",,
Souas Abdelmadjid,"Cité 164 logements, Makam El Chahid, blo...",0550 91 38 06,souas.lub@gmail.com
Beka Lube Algerie,"Zone d'Activité, n°25.Ain Smara,Constant...",031 97 51 12 / 0661 30 25 38 / 0661 44 51 58,n.hannache@beka-lube.dz
Pétro Baraka,"Zone Industrielle.Lot n°7,Biskra,Algérie",033 65 44 15,contact@petrobaraka.com
Mixoil Lubrifiants,"Zac El mizab .Seddouk,Bejaia,Algérie,065...",030 41 37 76 / 0550 56 11 57 / 0550 56 11 58 / 0770 39 43 01,contact@mixoil-lubrifiants.com
Global Lubrifiants,"N°3, zone d'activité de Staoueli,Alger,A...",021 39 20 70 / 0661 54 65 25,globalubrifiants@yahoo.fr
Infra Bitume,"38, lieu dite Ennakhla. Hassi Ben Okba,O...",041 76 55 04 / 0554 53 56 92,infrabitume@msn.com
DBA Technogum / Dérivés Bitume Algerie,"Route de Massouma .Chebli,Blida,Algérie,...",0560 00 06 62 / 0661 52 05 05 / 0770 90 80 27 / 0770 76 81 98 / 0770,sarldba@yahoo.fr
Auto Prest,"RTE DE BENI DOUALA TALA BOUNEM,Tizi Ouzo...",026 40 70 13 / 026 40 70 14 / 0661 66 07 91,
Groupement Shell Algerie,"5, chemin El Bekri(ex Makley).Ben Aknoun...",0770 32 66 10,
Benahmed Chawki,"Rn n44.Hamrouche Hamoudi.Bp 14,Skikda,Al...",038 93 95 96 / 0560 00 17 78,ets.benahmedmtsk@hotmail.com
Reggab Transaction,Zone industrielle SNTV Bp 971.Hassi Mess...,029 79 95 95 / 029 75 44 44 / 029 75 05 05 / 0770 88 53 53 / 0770 35 34 15 / 0770 35 34 38 / 0780 22,reggab_saiegh@yahoo.fr
BENSADOUN,"Rn n°4.Carmela (Route D'Alger),Chlef,Alg...",027 77 06 33 / 0661 60 20 72,m_bensadounlubrifiants@yahoo.fr
SBH / Société Souf Bitumes & Huiles,"Zone d'activité de Hassi Khelifa,El Oued...",032 11 06 74 / 0770 32 73 97 / 0661 38 54 43,
Nord Afrique,"Cité Saada .Kouinine,El Oued,Algérie,394...",032 10 42 91 / 0770 94 10 35,lubrifiant@nord-afrique.com
Madavrose Étanchiété,"Cité Echott,El Oued,Algérie,39000",0669 54 76 32,
Salhi Lubrifiants,Rue Azil Abderrahmane(ex Route de Batna)...,,
LUBRIPRO,"Station Service Benflis Kechida,Batna,Al...",0560 00 39 10,benflischawki@lubri-pro.com
Solub Algeria,"Cité Cheikh Bouamara. RN 2. Ain Beida,O...",0549 40 02 16 / 0770 35 07 84 / 0770 93 82 46 / 0770 93 83 69,
Badi Car Service,"Route de la Gare n°25.Reghaia,Alger,Algé...",0554 10 34 16 / 0560 80 52 97 / 0560 72 85 98 / 0779 12 63 79,badi.car.service@gmail.com
Hattab,"Lots 212, n°195.Ain Smara,Constantine,A...",031 97 12 09 / 0553 91 21 16 / 0770 43 72 77 / 0770 60 69 32,hattabghi@yahoo.fr
Future World's Oil,"Zone Industrielle. Ouled Moussa,Boumerde...",024 93 25 75 / 0661 21 21 24,contact@rebexoil.com
Centre Bitume,"Zone Industrielle,Ain Defla,Algérie",027 51 21 01,mourad.amr-chentir@naftal.dz
Petro Baraka / Agence de Hassi Messaoud,"Route nationale N°3.Hassi Messaoud,Ouarg...",029 79 91 00 / 0660 40 95 63 / 0660 40 95 30,
Petro Baraka / Agence de Skikda,"Route nationale Beni Bechir,Skikda,Algér...",038 73 62 60 / 0660 40 95 21,
Petro Baraka / Agence de Annaba,"Berrahel,Annaba,Algérie",038 47 59 40 / 0660 40 95 31 / 0660 40 95 23 / 0660 40 95 24,
Petro Baraka / Agence de Constantine,"Route Bounaouara El Khroub,Constantine,A...",031 95 02 41 / 0660 40 95 25,
RSA / Roulement Services Algerie / Agenc...,"100 lgts cité CNEP, Bt 366 , locaux 5 et...",0770 88 92 81 / 0770 98 98 50,
RSA / Roulement Services Algerie / Agenc...,"Avenue Ahmed Hamdi. Bel-air,Setif,Algéri...",036 61 34 17 / 0770 88 92 75 / 0770 60 45 93,
RSA / Roulement Services Algerie / Agenc...,"Route Nouvelle, N°5. Village Ighram,Boui...",026 78 37 56 / 0770 78 98 48 / 0770 98 98 49,
RSA / Roulement Services Algerie / Agenc...,"Route Nouvelle, N° 26, cité des 48 logem...",0770 88 92 72,
Kadiri,"01, rue Mohamed Kadri, ex Picardie. Bir...",021 44 88 32 / 0560 09 65 69,contact@sarlkadiri.com
ALLUB,"10, rue de Chantilly.Pins Maritimes.Moha...",021 82 34 47 / 021 52 38 47 / 025 23 22 07 / 025 23 22 09 / 0661 58 14 90,t.lamraoui@picoty.fr
Alpha Lubrifiants,"Route de Larbaa, lot n°115.Baraki,Alger,...",023 90 37 97 / 023 90 37 97 / 0554 50 24 79,contact@alphalubrifiants.com
SOPREMAC,"Zone industrielle n°10, section 41,Biskr...",0561 64 99 04 / 0561 64 99 00,sarl.sopremac@yahoo.com / contact@sopremac.dz
Algérie Distribution Lubrifiants,"Alger,Algérie,Coopérative Mimosa, Hauch...",023 81 13 31,
EKOS Energie,"13, Chemin Pouyanne Telemly.Alger Centre...",021 64 18 07 / 0560 99 49 54,ounnar.mehdi@ekosinerji.com
HYDROGIGA,"165, rue Djafer Slimane. Les Dunes. Cher...",023 37 17 21 / 0661 90 07 98,contact.hydrogiga@gmail.com
Lubrifiants MKBH,"Faubourg Sidi Djillali Lotis 02, lot n°...",0661 61 85 36 / 0550 54 85 36,hakim.lubrifiants@gmail.com
Univers Lubrifiants,"Cité Makoudi, lot 23. El Alia,Alger,Algé...",023 75 70 54 / 0550 91 99 03,universlubrifiantsalia@gmail.com
Gamma Lubrifiant,"20, lot Bouali Sid Ahmed,Bejaia,Algérie",034 81 89 04 / 0555 04 94 23 / 0770 54 89 00,bisness2008@hotmail.fr
Générale Lubrifiants,"Rue Ahmed Boumeda, cité Toubal,Bejaia,Al...",034 23 04 19 / 0770 98 26 11,generalelubrifiants@generalelubrifiants.com
Bouzid Nadir Lubrifiants,"154, cité Nassim,Oum El Bouaghi,Algérie",032 55 20 44 / 0560 19 27 84,nundoltf@hotmail.com
Bouteghmes Lubrifiants,Allee Centre Ville. Tamachit,0770 81 20 53,nazim.lubrifiant@yahoo.fr
Future Trading,"77, route de Constantine,Batna,Algérie",033 80 41 40,contact@future-trading-dz.com
Romyxa,"RN n°5.Ain Smara centre,Constantine,Algé...",0541 90 82 64,info@romyxa.de
Haddouch Total Lubrifiant Algerie,"Rn 1. Khazroune,Blida,Algérie",0661 77 14 86 / 0661 77 14 87,totalubrifiant_s@yahoo.fr
Chemical Empire,"18 Bis 1 .Sidi Saadi.Beni Messous,Alger,...",0550 05 54 37,chemical.empire.contact@gmail.com
Zit Bladi,"Setif,Algérie,4, rue Haniche Amar",036 45 24 38 / 0550 54 25 95,
Saroussa Auto,"Cité Makoudi 2, Lot n°213.El Alia .Oued...",0770 60 08 09 / 0770 22 55 80,gerantsalmi@saroussa.com / marketing.saroussa@gmail.com
SOMIFER / Société des Mines de Fer d’Alg...,"Zhun 2.Bp 298,Tebessa,Algérie,12000",037 59 13 44 / 037 59 19 27 / 0661 36 78 79,somifer.tebessa@gmail.com
SOMIPHOS / Société des Mines de Phosphat...,"Zhun II.Bp 122.Bir El Ater,Tebessa,Algér...",037 58 52 83 / 0661 36 90 77,somiphosdg@gmail.com
SOMIFER / Unité Mine de Anini,"Cité des 20 logts .Ain Roua.Bp 21,Setif,...",036 50 56 55,anini.somifer@gmail.com
SOMIFER / Unité Mine de Rouina,"Rouina.Bp 24,Ain Defla,Algérie.",0780 80 61 39,rouina.somifer@gmail.com
SOMIPHOS / Unité Complexe de Djebel Onk,"Bir El Ater,Tebessa,Algérie,12200",037 64 37 33,do.somiphos@gmail.com
ENG / Entreprise Nationale des Granulats...,"BP N° 143. Beni Saf,Ain Temouchent,Algér...",0667 15 95 36,benisaf@eng.dz
SOMIFER / Unité Mine de Sidi Maarouf,"Sidi Maarouf,Jijel,Algérie",036 50 55 56 / 037 59 13 44,
SOMIFER / Unité Mine Khanguet,"Zone Industrielle 2,Tebessa,Algérie",037 59 18 16,khanguet12@gmail.com
SOMIFER / Unité Mine de Chaabet Ballout,"Souk Ahras,Algérie",037 67 37 29,
ENOR / Entreprise d'Exploitation des Min...,"Résidence Chaabani.Bt 8B,entrée C1.Val d...",021 69 26 66,enor@enor.dz
ENASEL / Entreprise Nationale des Sels /...,"Salin de Bethioua.Bp 04,Oran,Algérie",041 42 21 71 / 0661 98 40 67 / 0661 98 40 64 / 0661 98 08 24,
ENG / Entreprise Nationale des Granulats,"Cité Administrative, lot n°135. Ouled Fa...",0660 40 32 24,info@eng.dz
ENASEL / Entreprise Nationale des Sel,Zone indusrielle Le Rhumel.Bp 18.Cité Bo...,031 60 64 62 / 031 60 64 60,dg@enasel.com
ENASEL / Entreprise Nationale des Sels /...,"Oued El Djemaa.Bp 04,Relizane,Algérie",046 83 99 03,belaceltahar@yahoo.fr
ENASEL / Entreprise Nationale des Sels /...,"Les lacs chott El Zemoul. Ain Mlila,Oum...",030 44 99 04,
ENOF / Unité de Sig,"30, Cité Mohammed Khemisti,Mascara,Algér...",045 64 95 01,enofonitesig@yahoo.fr
Normene Carbonate Trading,"85, lot Ghazi.Cité Dakal.Bp n°303,Consta...",0661 30 99 20,normenecarbonate@live.fr
ENASEL / Entreprise Nationale des Sels /...,"Bp 05. Ain Oulmen,Setif,Algérie",036 57 30 02 / 0661 98 72 22 / 0668 58 46 27,
ENASEL / Entreprise Nationale des Sels /...,"Commune El Méghaier,El Oued,Algérie",032 18 66 32 / 032 18 66 19,
SFDM / Frères Dib Métaux,"Zone industrielle El Taref n°113, local...",0661 30 11 29 / 0661 30 68 56,sfdm12@yahoo.fr
BEXCAR Benbrahim et Cie,"N°2, cité 1600 logts,bt 116. El Khroub,C...",0550 91 05 44 / 0550 91 05 28,bexcar.dz@gmail.com
IACN / Italo Algérienne du Commerce & d...,"6, route de Oued Alleug .Beni Merad,Blid...",025 42 00 89 / 0770 95 91 34 / 0770 95 91 37,contact@iacn-dz.org
Maghrebine de Carbonate,"Rue Essalem(Fobor), n°02,Tebessa,Algérie",0549 87 43 05 / 0550 15 71 59,brakni_s@yahoo.fr
ENOF / Unité Mellal,"Bp 78 Khmise Beni Snousse,Tlemcen,Algéri...",043 34 02 02 / 040 90 81 55 / 040 90 81 52,somibarmellal@yahoo.fr
Alger Chimie,"141, rue Hassiba Ben Bouali",0555 06 01 92 / 0555 06 01 87 / 0555 06 01 00,commercial@algerchimie-import.dz / contact@algerchimie-import.dz
KAPACHIM Algerie,"Ilot 65, lot 129, Z. Industrielle. Hassi...",0982 40 05 46 / 0560 01 79 89 / 0560 40 69 23 / 0770 47 43 49 / 0770 47 81 78,yasmine@kapachim.com
Missipssa Import / Export,"Village Larbaa, commune Chemini,Bejaia,A...",034 33 28 77 / 0770 44 02 04 / 0550 36 34 38,missisarl@yahoo.com
ENG / Entreprise Nationale des Granulat...,"BP n°13. El Khroub,Constantine,Algérie",0660 40 32 14,elkhroubcaco3@eng.dz
MBLS,"Cité Salah Deradji 213, N°110.El Khroub,...",0661 49 23 01 / 0676 31 38 44 / 0660 89 07 74 / 0661 71 08 49,sarlmbls@yahoo.fr
World Network,"Cité de la paix, local 07, étage 1,Tebes...",037 55 56 91 / 0662 97 54 57,sarl.world.network@gmail.com
Kristal Kimya,Haouche Hafiz. Larbaâ,0555 34 94 40 / 0558 75 24 23 / 0550 47 74 71,operation@kristal-kimya.com
MCN / de la Carbonate de Calcium,"Cité de la paix, étage 2, local 10,Tebes...",037 55 56 91 / 0557 49 42 88,sarl.mcn2020@gmail.com
GM / Générale des Mines,"8, Immeuble Saboundji.Rn n°24,Boumerdes,...",024 79 93 41 / 024 79 93 40 / 0661 65 20 83 / 0661 65 07 61,gdesmines@gmail.com
Agro Taiba Eldjzair,"Village Dar Nacer,Bejaia,Algérie,06000",0771 27 71 61,
EEMCC,"Cité 1406 logts , bt 24 , n°05,Boumerdes...",024 79 73 82 / 024 79 73 85 / 0550 10 86 30,sarl.eemcc@gmail.com
Société de Marbre de Skikda,Zone d'activité Oued Kossob. Filfila. BP...,038 93 15 58 / 038 93 15 59,bouhaouitaguermeche@gmail.com
Carrière Al Maharoune,"Village Mesloub.Mekla,Tizi Ouzou,Algérie",026 37 00 71 / 0770 44 32 90,carriere_almaharoune@live.fr
GEMAG,"Zone d'Activité Ain Smara.N° 22/23/24,Bo...",0550 50 82 41,genu.stone@yahoo.fr
Mega Marbre,"Lotissement Sud, n° 114/01,Mila,Algérie",0552 21 79 18,mega.marbre@yahoo.fr
Groupe ENAMARBRE / Unité Remchi,"Boulevard Colonel Amirouche.Remchi,Tlemc...",043 43 79 24 / 0660 37 55 02,enamarbre@gmail.com
Granittam,"Bloc K10, cité Makam Chahid,Sidi Bel Ab...",048 77 03 17 / 048 77 01 40,info@granittam.com
Carrière les Pierres Blanches,"Montagne Guerouz. Ain Melouk,Mila,Algéri...",0550 95 81 06 / 0779 50 07 05 / 0661 30 02 58,sarllespierresblanches@yahoo.fr
Les Pierres Blanches,"Cité Didouche Mourad. Chelghoum Laid,Mil...",0779 50 07 05 / 0550 95 81 06,sarllespierresblanches@yahoo.fr
ENG / Entreprise Nationale des Granulats...,"Chaabat el leham,Ain Temouchent,Algérie",0660 36 15 82,rocaal@eng.dz
SOEM / Société d'Exploitation Minière,"200, logts LSP btm, B1, n°2.Ain El Mouss...",036 44 76 76 / 036 63 03 03 / 0555 61 77 26,soeme@baragroupe.com
Hadj Moussa,"usine: Lot n°1.Belaida.Magra,M'sila,Algé...",0560 02 71 84 / 0550 37 41 74 / 0554 30 16 94,sarlhadjmoussa@gmail.com
Marbre et Granit Corporation,"Cité EPLF, bt C2. Zeramna,Skikda,Algérie",038 70 75 97 / 0777 77 47 66,
NINGBO,"Section n°7, ilot n°32, cité Bougandoura...",,sarlningbo@hotmail.com
APMC / Pôle Régional de Bejaia / Ex:SOMA...,"Zone industrielle ihaddaden.Bp n°159,Bej...",034 12 00 43 / 034 12 44 / 034 12 00 45 / 0770 74 76 02 / 0770 94 50 34,dgb@apmc-dz.com
Adwan Chemicals Company Algeria,"Zone Industrielle, n°02 et 03. Fornaka,M...",,infodz@adwanchem.com
DISTRIM,"Zone Industrielle Reghaia,Alger,Algérie,...",023 96 52 16 / 023 96 52 17 / 023 96 59 18 / 0770 97 23 36 / 0770 65 36 70,nboumedienne@distrimspa.com
Benbrahim Extraction Sable et Graviers,"Lot El Mtal. Sidi Medjni. Dellys,Boumerd...",021 49 62 40 / 0770 92 84 10 / 0561 34 33 42 / 0770 93 95 43,
RDO / Région de Distribution Ouest,"02, rue des Soeurs Benslimane,Oran,Algér...",041 29 15 22 / 29 15 26,
SPE / Sociéte Algérienne de Production d...,"Route nationale n°38, immeuble des 700 b...",,directiongenerale.distribution@sdc.dz
GRTE / Société Algérienne de Gestion du...,"Rn n°38.Gué de Constantine.Kouba,Alger,A...",021 83 68 04 / 021 83 81 84,dg-grte.secretariat@grte.dz
AEC / Algerian Energy Company,"168, Rue Hassiba Ben Bouali, Hamma",,info@aec.dz
OSE / Opérateur Système Electrique,Immeuble des 500 Bureaux.Gué de Constant...,021 83 62 51,azzizi.rymmahdia@os.dz
SKS / Shariket Kahraba Skikda,"Zone industrielle Skikda,Skikda,Algérie",,
SADEG | Société de distribution de l'éle...,Immeuble 500 Bureaux-Route Nationale N°3...,,communication@sadeg.dz
STE Frères Si Mohamed,"Route nationale n°3.Fesdis,Batna,Algérie...",033 80 82 03 / 0557 06 33 78,sfs.industrie23@gmail.com
SDE / Société de Distribution de l'Elect...,"02, rue Raymonde Peschard.coudiat,Consta...",031 91 28 10 / 031 91 23 10,
SKTM / Shariket Kahraba Wa Taket Moutadj...,"Avenue El Quods.Bounoura,Ghardaia,Algéri...",0660 17 82 05,djaouadi.khelifa@sktm.dz
SDA / Société de Distribution de l'Elect...,"Alger,Algérie,Route de Dar El Beida, 160...",021 50 09 15 / 021 50 09 11,
SONATRACH / Biskra,"Biskra,Algérie,Ferme Driss Omar, 07030 ....",033 55 86 06,
SONATRACH / Relizane,"Relizane,Algérie,Route Nationale, Z'mall...",046 86 52 32,
SONATRACH / Boumerdes,"Boumerdes,Algérie,1, boulevard de l’indé...",024 79 10 89,
SONATRACH / Batna,"Batna,Algérie,Route Batna, 05002 .Ain To...",033 35 00 81,
Amimer Energie,Alger: Villa n°124 Lotissement Mohamed S...,,contact@amimer.com / groupe@amimer.com
